DATE,MinTemp,MaxTemp,AvgTemp
09-02-2014,42,59,51
09-03-2014,42,60,51
09-04-2014,44,58,51
09-05-2014,44,61,53
09-06-2014,41,58,50
09-07-2014,39,54,47
09-08-2014,39,53,46
09-09-2014,39,54,47
09-10-2014,40,55,48
09-11-2014,42,56,49
09-12-2014,39,60,50
9/13/2014,41,60,51
9/14/2014,42,59,51
9/15/2014,43,57,50
9/16/2014,40,52,46
9/17/2014,39,53,46
9/18/2014,37,55,46
9/19/2014,40,54,47
9/20/2014,41,51,46
9/21/2014,38,52,45
9/22/2014,40,56,48
9/23/2014,41,59,50
9/24/2014,41,58,50
9/25/2014,40,56,48
9/26/2014,41,61,51
9/27/2014,42,52,47
9/28/2014,42,56,49
9/29/2014,40,54,47
9/30/2014,35,52,44
10-01-2014,37,53,45
10-02-2014,38,52,45
10-03-2014,36,52,44
10-04-2014,38,52,45
10-05-2014,40,52,46
10-06-2014,38,54,46
10-07-2014,42,53,48
10-08-2014,42,56,49
10-09-2014,42,60,51
10-10-2014,39,58,49
10-11-2014,39,54,47
10-12-2014,36,53,45
10/13/2014,33,53,43
10/14/2014,37,54,46
10/15/2014,39,58,49
10/16/2014,43,61,52
10/17/2014,44,51,48
10/18/2014,43,48,46
10/19/2014,42,54,48
10/20/2014,41,60,51
10/21/2014,38,59,49
10/22/2014,41,55,48
10/23/2014,36,56,46
10/24/2014,40,58,49
10/25/2014,39,58,49
10/26/2014,37,59,48
10/27/2014,39,55,47
10/28/2014,40,58,49
10/29/2014,41,57,49
10/30/2014,39,56,48
10/31/2014,37,56,47
11-01-2014,37,51,44
11-02-2014,41,54,48
11-03-2014,40,54,47
11-04-2014,37,48,43
11-05-2014,39,56,48
11-06-2014,43,56,50
11-07-2014,38,57,48
11-08-2014,36,55,46
11-09-2014,37,59,48
11-10-2014,42,60,51
11-11-2014,42,57,50
11-12-2014,41,56,49
11/13/2014,39,56,48
11/14/2014,38,54,46
11/15/2014,37,51,44
11/16/2014,38,55,47
11/17/2014,42,57,50
11/18/2014,38,56,47
11/19/2014,37,56,47
11/20/2014,39,51,45
11/21/2014,39,55,47
11/22/2014,38,54,46
11/23/2014,33,53,43
11/24/2014,41,59,50
11/25/2014,42,59,51
11/26/2014,41,55,48
11/27/2014,39,57,48
11/28/2014,38,56,47
11/29/2014,35,54,45
11/30/2014,35,50,43
12-01-2014,35,52,44
12-02-2014,35,51,43
12-03-2014,38,51,45
12-04-2014,42,52,47
12-05-2014,39,50,45
12-06-2014,36,51,44
12-07-2014,36,56,46
12-08-2014,38,58,48
12-09-2014,39,56,48
12-10-2014,39,60,50
12-11-2014,42,60,51
12-12-2014,37,55,46
12/13/2014,37,56,47
12/14/2014,38,56,47
12/15/2014,40,57,49
12/16/2014,40,57,49
12/17/2014,38,57,48
12/18/2014,40,56,48
12/19/2014,42,59,51
12/20/2014,39,56,48
12/21/2014,36,52,44
12/22/2014,31,47,39
12/23/2014,31,41,36
12/24/2014,36,45,41
12/25/2014,40,54,47
12/26/2014,41,53,47
12/27/2014,37,51,44
12/28/2014,39,56,48
12/29/2014,36,54,45
12/30/2014,36,53,45
12/31/2014,34,53,44
01-01-2015,38,51,45
01-02-2015,34,40,37
01-03-2015,29,36,33
01-04-2015,31,44,38
01-05-2015,37,51,44
01-06-2015,38,52,45
01-07-2015,38,54,46
01-08-2015,38,57,48
01-09-2015,36,55,46
01-10-2015,34,51,43
01-11-2015,38,54,46
01-12-2015,40,57,49
1/13/2015,41,56,49
1/14/2015,35,58,47
1/15/2015,38,58,48
1/16/2015,40,56,48
1/17/2015,38,58,48
1/18/2015,37,57,47
1/19/2015,37,59,48
1/20/2015,36,56,46
1/21/2015,40,58,49
1/22/2015,39,54,47
1/23/2015,43,65,54
1/24/2015,41,61,51
1/25/2015,40,55,48
1/26/2015,42,59,51
1/27/2015,36,58,47
1/28/2015,36,54,45
1/29/2015,35,54,45
1/30/2015,36,54,45
1/31/2015,33,53,43
02-01-2015,36,53,45
02-02-2015,38,54,46
02-03-2015,41,54,48
02-04-2015,39,50,45
02-05-2015,38,50,44
02-06-2015,33,47,40
02-07-2015,32,54,43
02-08-2015,43,59,51
02-09-2015,42,55,49
02-10-2015,35,50,43
02-11-2015,34,54,44
02-12-2015,37,53,45
2/13/2015,40,54,47
2/14/2015,38,57,48
2/15/2015,37,51,44
2/16/2015,37,53,45
2/17/2015,36,54,45
2/18/2015,36,54,45
2/19/2015,38,56,47
2/20/2015,39,54,47
2/21/2015,36,51,44
2/22/2015,35,52,44
2/23/2015,40,53,47
2/24/2015,40,56,48
2/25/2015,39,57,48
2/26/2015,36,48,42
2/27/2015,35,49,42
2/28/2015,35,44,40
03-01-2015,33,44,39
03-02-2015,32,43,38
03-03-2015,33,46,40
03-04-2015,33,39,36
03-05-2015,33,48,41
03-06-2015,35,49,42
03-07-2015,38,53,46
03-08-2015,32,46,39
03-09-2015,33,37,35
03-10-2015,34,42,38
03-11-2015,31,37,34
03-12-2015,32,39,36
3/13/2015,31,41,36
3/14/2015,31,47,39
3/15/2015,33,51,42
3/16/2015,36,54,45
3/17/2015,36,57,47
3/18/2015,36,57,47
3/19/2015,39,60,50
3/20/2015,38,61,50
3/21/2015,41,60,51
3/22/2015,37,56,47
3/23/2015,38,58,48
3/24/2015,36,56,46
3/25/2015,38,54,46
3/26/2015,34,59,47
3/27/2015,39,58,49
3/28/2015,42,58,50
3/29/2015,39,57,48
3/30/2015,36,54,45
3/31/2015,31,50,41
04-01-2015,32,49,41
04-02-2015,31,49,40
04-03-2015,35,50,43
04-04-2015,39,51,45
04-05-2015,35,53,44
04-06-2015,35,52,44
04-07-2015,33,47,40
04-08-2015,33,52,43
04-09-2015,34,51,43
04-10-2015,35,49,42
04-11-2015,35,48,42
04-12-2015,33,48,41
4/13/2015,36,53,45
4/14/2015,39,52,46
4/15/2015,37,48,43
4/16/2015,34,47,41
4/17/2015,34,50,42
4/18/2015,37,53,45
4/19/2015,40,58,49
4/20/2015,39,60,50
4/21/2015,43,63,53
4/22/2015,40,60,50
4/23/2015,39,57,48
4/24/2015,43,58,51
4/25/2015,43,57,50
4/26/2015,41,55,48
4/27/2015,37,54,46
4/28/2015,33,55,44
4/29/2015,37,59,48
4/30/2015,36,57,47
05-01-2015,37,53,45
05-02-2015,35,50,43
05-03-2015,33,53,43
05-04-2015,40,55,48
05-05-2015,42,59,51
05-06-2015,42,63,53
05-07-2015,41,59,50
05-08-2015,38,59,49
05-09-2015,38,54,46
05-10-2015,36,51,44
05-11-2015,37,55,46
05-12-2015,37,51,44
5/13/2015,33,45,39
